delta,epoch,epsilon,test_acc,sigma,clip,lot_size
5e-05,34,2.2824981027390865,0.8100000023841858,1.5,0.17,60
5e-05,35,2.3193092083724762,0.8112499713897705,1.5,0.17,60
5e-05,36,2.355693893169204,0.8174999952316284,1.5,0.17,60
5e-05,37,2.391669431176913,0.8174999952316284,1.5,0.17,60
5e-05,38,2.4272519487045243,0.8112499713897705,1.5,0.17,60
5e-05,39,2.4624565359021835,0.8075000047683716,1.5,0.17,60
5e-05,40,2.497297339468108,0.8125,1.5,0.17,60
5e-05,41,2.5317876238255663,0.8100000023841858,1.5,0.17,60
5e-05,42,2.5659398788147874,0.8087499737739563,1.5,0.17,60
5e-05,43,2.5997658509759822,0.8174999952316284,1.5,0.17,60
5e-05,44,2.6332766256355824,0.8137500286102295,1.5,0.17,60
5e-05,45,2.6664826593746085,0.8149999976158142,1.5,0.17,60
5e-05,46,2.699393846813604,0.8162500262260437,1.5,0.17,60
5e-05,47,2.7320195567372147,0.8137500286102295,1.5,0.17,60
5e-05,48,2.7643686566880064,0.8137500286102295,1.5,0.17,60
5e-05,49,2.7964495742807984,0.8125,1.5,0.17,60
5e-05,50,2.828270312080316,0.8199999928474426,1.5,0.17,60
5e-05,51,2.8598384690944108,0.8162500262260437,1.5,0.17,60
5e-05,52,2.891161294482317,0.8174999952316284,1.5,0.17,60
5e-05,53,2.9222456746025176,0.8224999904632568,1.5,0.17,60
